Scene 1: The man shivering in the cold night air, his breath visible in the cold, epic scenery,digital painting, dark fantasy, --ar 3:2

Scene 2: The man spotting an old abandoned cabin in the distance, epic scenery,digital painting, dark fantasy, --ar 3:2

Scene 3: The man approaching the cabin and noticing its state of disrepair, epic scenery,digital painting, dark fantasy, --ar 3:2

Scene 4: The man entering the cabin and lighting a fire in the fireplace, epic scenery,digital painting, dark fantasy, --ar 3:2

Scene 5: The man hearing strange noises coming from outside the cabin, epic scenery,digital painting, dark fantasy, --ar 3:2

Scene 6: The man grabbing a lantern and searching the area outside the cabin, epic scenery,digital painting, dark fantasy, --ar 3:2

Scene 7: The man returning to the cabin and feeling uneasy, epic scenery,digital painting, dark fantasy, --ar 3:2

Scene 8: The man searching the cabin and finding a trapdoor in the floor, epic scenery,digital painting, dark fantasy, --ar 3:2

Scene 9: The man descending into the darkness below and finding a small room filled with old furniture and dusty books, epic scenery,digital painting, dark fantasy, --ar 3:2

Scene 10: The man discovering a small box tucked away in the corner and finding a journal inside, epic scenery,digital painting, dark fantasy, --ar 3:2

Scene 11: The man reading the journal and discovering the cabin’s dark history, epic scenery,digital painting, dark fantasy, --ar 3:2

Scene 12: The man quickly leaving the cabin, never to return, epic scenery,digital painting, dark fantasy, --ar 3:2
